customer_id,age,tenure_months,monthly_spend,support_tickets,satisfaction_score,channel,issue_type,resolved,churn_risk,priority
C0001,22,38,123.7,3,3,web,technical,1,0.544,high
C0002,58,19,64.64,1,5,web,product,1,0.386,medium
C0003,52,17,60.12,3,3,call,product,1,0.704,high
C0004,40,23,106.09,2,5,web,billing,1,0.787,medium
C0005,40,43,124.6,5,4,store,billing,1,0.483,high
C0006,62,18,91.41,4,2,call,technical,0,0.425,critical
C0007,22,65,44.98,4,1,web,billing,1,0.577,critical
C0008,54,35,42.39,1,5,store,technical,1,0.585,medium
C0009,28,62,40.05,2,3,web,account,1,0.425,medium
C0010,22,49,28.13,2,5,app,billing,0,0.758,medium
C0011,45,24,93.83,2,5,app,technical,1,0.4,medium
C0012,68,17,129.38,2,3,web,product,1,0.453,medium
C0013,56,53,89.53,6,1,store,technical,0,0.605,critical
C0014,57,24,20.0,2,5,store,billing,1,0.987,critical
C0015,55,18,83.32,1,3,app,billing,1,0.261,medium
C0016,58,67,84.3,3,1,web,account,1,0.232,critical
C0017,44,35,163.36,7,3,store,billing,1,0.177,high
C0018,24,4,39.0,0,1,app,product,0,0.689,critical
C0019,61,36,76.33,0,2,web,product,1,0.449,critical
C0020,41,33,149.7,1,2,store,billing,1,0.389,critical
C0021,44,62,105.75,2,3,web,product,1,0.204,medium
C0022,37,51,109.72,4,3,call,billing,1,0.891,critical
C0023,27,14,94.01,3,5,web,billing,1,0.443,high
C0024,66,11,101.55,3,2,app,technical,0,0.608,critical
C0025,58,43,117.22,1,4,store,account,1,0.113,medium
C0026,51,4,61.67,2,5,web,billing,0,0.108,medium
C0027,38,23,120.73,1,4,app,billing,1,0.067,medium
C0028,60,10,41.94,2,2,app,account,1,0.367,critical
C0029,46,2,101.49,1,4,call,billing,1,0.473,medium
C0030,41,66,96.26,1,2,call,account,1,0.245,critical
C0031,41,7,68.43,3,3,web,product,1,0.35,high
C0032,29,1,89.21,0,4,call,product,1,0.006,medium
C0033,22,67,68.21,3,2,web,product,1,0.351,critical
C0034,46,14,52.49,2,1,web,product,1,0.119,critical
C0035,64,58,77.62,2,5,app,billing,1,0.128,medium
C0036,21,3,51.36,5,4,call,account,1,0.005,high
C0037,62,11,101.3,0,1,web,account,1,0.696,critical
C0038,61,8,49.75,2,2,web,account,1,0.931,critical
C0039,32,51,114.92,1,2,app,product,1,0.622,critical
C0040,50,45,48.65,0,5,web,technical,1,0.096,medium
C0041,26,34,70.18,0,5,web,technical,0,0.99,critical
C0042,57,18,68.14,4,4,web,billing,0,0.976,critical
C0043,54,7,136.38,3,3,web,technical,1,0.468,high
C0044,36,41,101.56,1,1,web,product,1,0.108,critical
C0045,21,17,82.59,6,2,app,product,0,0.721,critical
C0046,68,42,107.46,2,1,web,technical,1,0.961,critical
C0047,41,49,20.0,3,4,store,technical,1,0.779,high
C0048,64,61,88.49,1,1,call,product,1,0.624,critical
C0049,53,36,159.91,0,4,store,technical,1,0.611,medium
C0050,58,1,94.63,2,5,call,account,1,0.978,critical
C0051,57,20,92.38,1,2,call,product,1,0.073,critical
C0052,28,61,109.18,0,4,call,billing,1,0.15,medium
C0053,36,38,121.35,3,5,call,billing,0,0.831,critical
C0054,42,44,20.09,1,3,call,product,1,0.145,medium
C0055,43,33,31.12,2,3,call,technical,1,0.383,medium
C0056,20,12,97.36,5,2,call,account,1,0.281,critical
C0057,46,64,64.98,0,3,web,billing,1,0.243,medium
C0058,26,55,135.92,0,5,call,billing,1,0.026,medium
C0059,56,71,78.97,0,4,call,technical,0,0.566,medium
C0060,53,61,22.29,4,2,web,product,1,0.401,critical
C0061,65,21,45.62,2,3,app,account,1,0.552,medium
C0062,56,19,20.0,1,4,web,account,0,0.305,medium
C0063,37,18,81.81,4,1,web,technical,1,0.941,critical
C0064,68,66,83.41,2,4,app,account,1,0.591,medium
C0065,39,40,75.14,3,2,web,billing,1,0.961,critical
C0066,34,33,127.76,1,2,store,product,1,0.35,critical
C0067,65,69,131.95,1,3,web,account,1,0.002,medium
C0068,37,43,84.04,2,3,app,technical,1,0.781,medium
C0069,21,65,20.0,4,5,store,account,1,0.827,critical
C0070,42,70,111.6,1,2,call,billing,1,0.059,critical
C0071,59,6,109.44,5,2,call,billing,1,0.625,critical
C0072,27,26,100.83,2,2,call,technical,0,0.661,critical
C0073,42,53,124.35,1,5,app,account,0,0.146,medium
C0074,24,58,49.23,2,5,app,technical,1,0.553,medium
C0075,53,11,160.31,0,3,store,account,0,0.243,medium
C0076,42,23,56.42,1,4,app,billing,0,0.016,medium
C0077,35,39,116.22,2,5,store,product,1,0.867,critical
C0078,29,57,30.94,3,5,web,product,1,0.492,high
C0079,47,9,57.44,6,4,web,billing,1,0.782,high
C0080,52,43,143.07,2,3,call,product,1,0.723,medium
C0081,66,22,80.87,1,5,web,product,1,0.994,critical
C0082,40,16,119.4,1,2,store,technical,1,0.438,critical
C0083,26,37,98.29,2,2,web,billing,1,0.428,critical
C0084,61,30,86.33,1,4,store,billing,1,0.282,medium
C0085,50,46,137.73,2,1,web,account,1,0.625,critical
C0086,54,23,81.72,4,3,app,product,0,0.486,high
C0087,23,59,27.67,2,5,web,account,0,0.729,medium
C0088,34,6,61.89,2,1,web,product,1,0.357,critical
C0089,57,62,109.29,2,5,store,account,1,0.131,medium
C0090,61,3,103.84,0,3,store,billing,1,0.862,critical
C0091,40,53,35.15,0,5,call,technical,1,0.828,critical
C0092,59,25,64.65,1,4,store,product,1,0.351,medium
C0093,61,28,69.64,4,1,web,billing,1,0.69,critical
C0094,38,2,77.21,0,4,app,billing,0,0.492,medium
C0095,64,50,41.84,1,1,store,product,1,0.761,critical
C0096,32,12,68.01,0,2,web,account,1,0.39,critical
C0097,30,47,64.5,1,5,call,product,1,0.536,medium
C0098,53,52,117.0,5,5,call,billing,1,0.058,high
C0099,51,61,118.32,2,1,call,account,1,0.175,critical
C0100,25,51,84.9,2,2,store,billing,1,0.782,critical
C0101,61,22,76.28,1,1,store,billing,1,0.382,critical
C0102,28,53,94.9,3,2,store,account,0,0.035,critical
C0103,59,59,61.42,3,5,web,product,1,0.168,high
C0104,18,23,49.86,0,1,web,account,1,0.412,critical
C0105,59,9,57.09,5,4,app,account,0,0.718,high
C0106,58,64,67.78,0,5,call,product,1,0.363,medium
C0107,58,11,49.28,1,5,store,billing,1,0.745,medium
C0108,52,43,95.67,2,2,web,technical,1,0.858,critical
C0109,42,17,115.54,4,4,call,account,1,0.341,high
C0110,54,9,34.45,3,3,web,account,1,0.8,high
C0111,32,56,90.88,3,1,web,technical,1,0.127,critical
C0112,58,11,82.3,2,2,web,technical,1,0.415,critical
C0113,46,48,101.95,2,4,call,billing,1,0.098,medium
C0114,41,50,89.55,1,4,call,technical,1,0.053,medium
C0115,44,5,39.12,4,3,web,account,1,0.065,high
C0116,47,13,45.82,2,4,web,billing,0,0.105,medium
C0117,19,57,91.03,4,4,call,technical,1,0.836,critical
C0118,25,37,126.01,1,2,store,account,1,0.544,critical
C0119,30,9,20.0,1,2,call,technical,1,0.947,critical
C0120,23,71,102.1,2,5,web,technical,1,0.538,medium
C0121,40,19,131.64,0,5,call,technical,1,0.629,medium
C0122,52,1,84.64,2,1,app,billing,1,0.184,critical
C0123,52,66,109.26,6,4,call,billing,1,0.541,high
C0124,42,2,65.39,1,1,web,billing,1,0.385,critical
C0125,62,40,85.82,1,5,call,billing,1,0.931,critical
C0126,47,71,33.27,1,3,web,billing,0,0.934,critical
C0127,22,42,20.0,1,4,web,technical,1,0.198,medium
C0128,57,42,123.0,2,4,web,billing,1,0.62,medium
C0129,47,28,55.53,4,4,app,account,0,0.638,high
C0130,51,10,74.06,1,2,store,billing,1,0.563,critical
C0131,47,41,41.47,0,5,app,technical,1,0.124,medium
C0132,46,64,40.65,6,3,store,account,1,0.654,high
C0133,22,7,83.92,0,3,store,billing,1,0.799,medium
C0134,47,63,64.46,2,2,web,technical,1,0.345,critical
C0135,59,30,103.23,0,1,call,account,1,0.515,critical
C0136,33,39,105.84,2,3,web,product,1,0.116,medium
C0137,49,12,101.23,0,2,store,billing,1,0.931,critical
C0138,19,45,98.35,2,4,web,product,1,0.11,medium
C0139,36,13,145.22,4,2,web,product,1,0.208,critical
C0140,40,20,52.63,1,5,store,technical,0,0.298,medium
C0141,69,52,88.08,0,4,web,billing,0,0.826,critical
C0142,29,4,129.64,4,3,web,billing,1,0.701,high
C0143,32,32,134.26,3,4,app,account,1,0.007,high
C0144,39,43,40.24,3,4,web,technical,1,0.184,high
C0145,69,10,79.07,1,4,web,billing,1,0.75,medium
C0146,62,21,137.53,3,3,web,technical,1,0.404,high
C0147,19,25,107.78,2,5,web,account,1,0.026,medium
C0148,30,48,96.83,6,2,call,billing,1,0.964,critical
C0149,60,70,82.38,5,3,web,billing,1,0.151,high
C0150,21,60,76.57,2,2,store,technical,1,0.51,critical
C0151,62,14,100.09,2,3,call,product,0,0.248,medium
C0152,32,2,81.17,5,5,web,technical,1,0.737,high
C0153,65,4,88.51,1,4,app,account,1,0.777,medium
C0154,33,43,92.75,4,2,app,billing,1,0.397,critical
C0155,40,12,66.27,7,5,web,technical,1,0.658,high
C0156,52,17,108.62,1,4,web,technical,1,0.909,critical
C0157,24,61,192.0,4,3,web,technical,1,0.815,critical
C0158,46,63,27.81,2,1,web,technical,1,0.415,critical
C0159,44,60,101.34,0,3,store,product,1,0.441,medium
C0160,58,19,63.39,2,5,store,technical,1,0.887,critical
C0161,69,44,110.21,0,3,store,product,0,0.034,medium
C0162,52,44,91.63,0,1,web,billing,1,0.023,critical
C0163,39,14,116.66,1,1,web,product,1,0.206,critical
C0164,39,40,131.14,3,5,app,technical,1,0.828,critical
C0165,39,38,96.73,1,3,app,technical,1,0.153,medium
C0166,60,29,129.62,3,4,web,billing,1,0.285,high
C0167,34,54,20.0,2,2,call,account,1,0.629,critical
C0168,26,49,145.67,2,1,store,account,1,0.184,critical
C0169,35,38,103.13,3,3,call,account,0,0.303,high
C0170,19,52,127.72,3,4,store,account,1,0.467,high
C0171,23,55,47.3,4,2,app,billing,1,0.228,critical
C0172,22,41,60.92,4,4,web,technical,1,0.992,critical
C0173,58,20,95.11,3,3,web,technical,1,0.163,high
C0174,55,54,89.4,2,2,app,account,1,0.85,critical
C0175,54,51,99.91,2,2,web,billing,1,0.47,critical
C0176,42,70,127.96,1,2,web,billing,1,0.129,critical
C0177,55,11,28.22,6,2,call,product,1,0.118,critical
C0178,26,30,124.08,2,4,call,billing,1,0.5,medium
C0179,64,66,90.29,3,2,call,product,0,0.354,critical
C0180,44,37,82.87,0,4,call,billing,1,0.235,medium
C0181,66,67,38.51,5,2,call,product,1,0.959,critical
C0182,25,1,107.61,1,2,web,account,1,0.463,critical
C0183,43,3,20.0,2,5,call,product,1,0.929,critical
C0184,54,57,112.69,1,5,call,billing,0,0.164,medium
C0185,43,26,37.78,1,3,app,billing,0,0.183,medium
C0186,41,37,91.87,4,2,web,billing,0,0.596,critical
C0187,26,31,85.83,2,4,web,billing,0,0.27,medium
C0188,37,29,130.93,3,1,call,product,1,0.185,critical
C0189,30,67,83.75,5,3,web,technical,1,0.095,high
C0190,33,7,65.71,2,3,web,billing,1,0.076,medium
C0191,53,55,72.27,4,4,app,billing,1,0.753,high
C0192,50,64,134.55,3,1,store,account,1,0.282,critical
C0193,49,47,108.77,1,1,web,billing,1,0.978,critical
C0194,36,29,76.5,2,2,web,technical,1,0.183,critical
C0195,67,12,81.72,2,1,web,technical,1,0.354,critical
C0196,22,49,35.15,2,3,call,billing,1,0.375,medium
C0197,35,34,103.6,1,5,store,account,0,0.5,medium
C0198,24,11,28.41,1,2,web,billing,1,0.871,critical
C0199,35,26,116.31,0,3,web,product,1,0.835,critical
C0200,68,69,94.5,1,2,web,product,0,0.01,critical
C0201,37,19,173.54,1,1,web,account,0,0.409,critical
C0202,65,13,51.5,4,4,web,product,1,0.828,critical
C0203,43,49,86.41,1,2,store,product,1,0.0,critical
C0204,54,15,152.94,1,3,web,technical,1,0.534,medium
C0205,41,66,131.7,3,4,web,technical,1,0.259,high
C0206,31,61,65.63,3,5,store,product,1,0.413,high
C0207,57,70,97.84,2,1,store,product,1,0.42,critical
C0208,68,65,90.07,2,3,web,technical,1,0.392,medium
C0209,31,18,99.87,1,5,web,billing,1,0.892,critical
C0210,58,16,65.55,0,3,web,billing,1,0.536,medium
C0211,31,25,86.87,3,1,web,technical,1,0.904,critical
C0212,55,34,34.07,0,2,call,billing,1,0.727,critical
C0213,59,63,94.73,1,4,web,technical,1,0.351,medium
C0214,41,53,105.75,3,4,call,billing,1,0.494,high
C0215,56,46,82.04,0,2,call,product,1,0.39,critical
C0216,32,63,33.47,0,1,web,product,0,0.829,critical
C0217,22,46,124.6,2,2,web,product,0,0.188,critical
C0218,23,27,102.76,2,2,web,product,1,0.936,critical
C0219,41,30,64.59,1,4,web,billing,1,0.58,medium
C0220,64,37,80.18,6,5,store,billing,1,0.612,high
C0221,24,7,37.48,7,1,web,product,0,0.517,critical
C0222,41,53,54.11,5,4,app,account,1,0.554,high
C0223,54,47,71.18,6,4,store,product,1,0.668,high
C0224,28,52,132.99,4,4,call,product,1,0.655,high
C0225,55,38,67.62,1,5,call,product,1,0.214,medium
C0226,33,56,112.41,2,1,store,product,1,0.582,critical
C0227,60,68,71.16,3,4,app,product,1,0.355,high
C0228,48,41,98.68,1,1,app,product,1,0.637,critical
C0229,46,32,85.05,3,5,web,billing,1,0.548,high
C0230,27,8,120.56,1,3,web,billing,1,0.18,medium
C0231,42,56,71.28,2,1,web,technical,1,0.735,critical
C0232,62,65,34.96,2,4,web,technical,0,0.457,medium
C0233,19,50,41.63,1,4,store,product,1,0.551,medium
C0234,57,62,71.38,3,3,web,technical,0,0.673,high
C0235,43,62,46.28,7,2,store,billing,1,0.653,critical
C0236,55,57,104.36,0,1,call,product,0,0.749,critical
C0237,52,36,73.7,2,5,web,billing,0,0.207,medium
C0238,40,8,173.11,3,1,store,account,0,0.11,critical
C0239,34,1,29.18,3,5,web,billing,0,0.669,high
C0240,50,15,97.13,2,3,call,technical,1,0.236,medium
C0241,25,31,50.52,0,4,call,technical,1,0.115,medium
C0242,48,53,72.73,1,4,web,billing,1,0.131,medium
C0243,22,33,94.95,4,5,call,billing,1,0.313,high
C0244,51,2,20.0,0,1,web,billing,0,0.992,critical
C0245,50,15,98.29,1,5,call,technical,1,0.157,medium
C0246,22,70,156.6,1,1,store,technical,1,0.299,critical
C0247,57,71,74.13,1,5,store,product,0,0.921,critical
C0248,39,27,99.09,4,2,call,billing,1,0.963,critical
C0249,58,58,125.87,1,5,app,technical,1,0.229,medium
C0250,20,52,84.26,2,1,call,billing,1,0.88,critical
C0251,27,67,69.67,4,3,store,account,1,0.139,high
C0252,43,64,20.0,1,3,call,product,0,0.762,medium
C0253,27,45,112.43,2,5,store,account,1,0.013,medium
C0254,35,29,86.04,3,1,call,account,1,0.407,critical
C0255,52,45,54.56,3,1,app,technical,1,0.247,critical
C0256,25,23,94.43,2,4,web,product,1,0.704,medium
C0257,53,25,69.57,3,1,web,technical,1,0.016,critical
C0258,23,44,71.51,5,4,web,account,0,0.465,high
C0259,27,41,111.22,1,1,web,technical,1,0.697,critical
C0260,48,42,43.16,2,5,web,technical,1,0.047,medium
C0261,59,28,126.66,2,3,web,account,1,0.897,critical
C0262,26,30,41.08,3,5,store,account,1,0.361,high
C0263,33,1,66.81,1,1,web,account,1,0.165,critical
C0264,66,43,157.3,3,2,web,billing,1,0.225,critical
C0265,69,41,129.46,2,3,call,billing,1,0.339,medium
C0266,48,67,93.42,2,1,web,technical,0,0.198,critical
C0267,41,36,57.08,1,1,store,technical,1,0.511,critical
C0268,36,34,71.48,2,2,call,technical,1,0.633,critical
C0269,49,5,92.56,1,4,app,billing,1,0.433,medium
C0270,48,14,91.31,4,4,store,product,1,0.427,high
C0271,33,25,86.82,1,1,web,billing,1,0.782,critical
C0272,19,27,88.92,4,1,web,product,1,0.301,critical
C0273,25,26,82.5,4,4,app,account,1,0.623,high
C0274,67,28,39.53,2,2,call,product,1,0.893,critical
C0275,39,55,71.92,1,4,call,technical,1,0.222,medium
C0276,43,10,122.01,4,2,call,billing,1,0.62,critical
C0277,42,24,42.11,5,2,web,billing,1,0.948,critical
C0278,58,12,83.37,3,2,store,product,1,0.53,critical
C0279,21,22,61.31,3,2,call,technical,1,0.977,critical
C0280,22,49,93.9,2,4,app,billing,1,0.31,medium
C0281,32,4,76.4,2,3,web,account,0,0.564,medium
C0282,43,25,141.71,2,4,store,product,1,0.311,medium
C0283,52,2,107.73,4,1,web,account,1,0.004,critical
C0284,43,68,44.09,2,3,app,technical,1,0.997,critical
C0285,40,52,113.49,2,3,web,account,1,0.24,medium
C0286,66,18,62.89,0,5,call,billing,1,0.973,critical
C0287,26,15,69.81,1,3,web,billing,1,0.653,medium
C0288,47,8,100.98,1,1,call,account,1,0.904,critical
C0289,46,34,72.79,2,4,call,account,1,0.967,critical
C0290,42,54,121.25,2,1,web,technical,1,0.568,critical
C0291,59,42,62.89,3,5,app,billing,1,1.0,critical
C0292,31,63,68.34,3,2,app,technical,1,0.767,critical
C0293,67,25,67.03,2,4,app,product,1,0.524,medium
C0294,35,20,70.2,2,4,web,account,1,0.655,medium
C0295,46,34,128.47,0,3,call,technical,1,0.194,medium
C0296,45,15,112.01,1,3,store,billing,1,0.011,medium
C0297,62,70,149.85,1,1,store,product,1,0.257,critical
C0298,40,14,169.37,2,1,store,product,1,0.435,critical
C0299,32,34,53.92,1,4,call,technical,1,0.228,medium
C0300,19,38,92.46,1,5,web,product,1,0.514,medium
C0301,36,5,48.83,1,5,store,account,1,0.658,medium
C0302,60,34,62.78,1,2,web,billing,1,0.656,critical
C0303,18,33,67.95,2,2,web,product,1,0.894,critical
C0304,64,19,53.0,1,2,web,product,1,0.966,critical
C0305,46,10,53.18,1,4,web,technical,1,0.891,critical
C0306,25,4,84.95,4,4,call,account,1,0.62,high
C0307,33,1,47.41,1,4,store,product,1,0.206,medium
C0308,46,35,119.47,0,5,web,technical,1,0.943,critical
C0309,34,7,57.88,0,2,call,billing,1,0.175,critical
C0310,23,69,188.33,2,4,app,product,1,0.151,medium
C0311,52,18,74.2,3,3,app,billing,0,0.318,high
C0312,52,47,92.52,1,5,app,billing,0,0.574,medium
C0313,24,48,44.66,1,2,app,technical,1,0.681,critical
C0314,32,36,149.71,1,1,store,product,0,0.013,critical
C0315,30,63,129.18,1,2,app,account,0,0.778,critical
C0316,52,8,100.39,1,4,app,product,1,0.175,medium
C0317,55,17,42.86,2,5,web,account,1,0.296,medium
C0318,55,18,97.37,1,5,app,technical,1,0.322,medium
C0319,66,10,50.75,2,1,call,technical,1,0.332,critical
C0320,57,21,141.18,5,3,call,account,1,0.76,high
C0321,34,23,118.32,3,1,app,technical,1,0.041,critical
C0322,23,55,93.34,2,2,web,account,1,0.197,critical
C0323,49,22,20.0,2,5,store,technical,1,0.022,medium
C0324,65,63,55.58,3,5,call,billing,1,0.778,high
C0325,68,55,114.07,2,1,call,product,1,0.984,critical
C0326,29,65,132.45,1,1,app,billing,1,0.66,critical
C0327,30,8,128.82,1,4,app,billing,1,0.59,medium
C0328,19,70,34.28,5,3,call,billing,1,0.908,critical
C0329,25,44,100.55,3,3,app,billing,1,0.255,high
C0330,46,70,125.54,3,5,web,technical,1,0.066,high
C0331,46,26,31.96,1,5,app,account,1,0.51,medium
C0332,37,68,89.72,4,5,web,technical,1,0.26,high
C0333,34,42,99.58,2,4,store,account,1,0.451,medium
C0334,61,6,79.47,1,5,web,product,1,0.456,medium
C0335,41,30,25.17,3,4,store,billing,1,0.319,high
C0336,60,10,78.6,2,5,web,billing,1,0.486,medium
C0337,68,67,78.54,4,3,web,account,0,0.38,high
C0338,34,22,84.82,1,1,call,product,1,0.113,critical
C0339,28,16,70.28,1,5,call,account,0,0.867,critical
C0340,67,40,74.49,3,5,web,technical,1,0.701,high
C0341,51,31,88.61,3,2,call,product,1,0.041,critical
C0342,33,7,105.49,3,3,web,product,0,0.116,high
C0343,50,58,79.35,2,3,web,account,0,0.097,medium
C0344,44,61,75.66,4,4,web,billing,1,0.062,high
C0345,65,53,93.23,4,4,store,account,1,0.059,high
C0346,31,44,22.77,3,2,call,technical,1,0.157,critical
C0347,69,29,106.7,5,5,store,account,1,0.848,critical
C0348,66,39,89.98,5,5,app,technical,1,0.828,critical
C0349,27,37,91.39,3,5,store,product,1,0.783,high
C0350,26,12,123.63,4,3,call,technical,1,0.615,high
C0351,45,6,21.65,1,1,app,account,1,0.723,critical
C0352,20,18,20.92,2,5,web,billing,1,0.738,medium
C0353,33,33,99.58,0,1,web,technical,1,0.889,critical
C0354,40,12,89.75,3,1,web,product,1,0.732,critical
C0355,68,8,95.96,3,2,store,product,0,0.736,critical
C0356,69,61,73.83,0,1,store,technical,1,0.804,critical
C0357,25,27,113.25,1,4,web,product,1,0.556,medium
C0358,64,42,122.64,1,3,app,technical,1,0.213,medium
C0359,22,38,106.94,3,2,app,product,1,0.085,critical
C0360,56,53,80.87,2,1,web,product,1,0.419,critical
C0361,61,53,20.0,2,2,web,product,1,0.092,critical
C0362,64,22,116.92,5,4,web,account,0,0.169,high
C0363,29,61,132.76,5,4,web,technical,0,0.024,high
C0364,64,27,112.56,4,2,app,billing,0,0.3,critical
C0365,24,60,59.21,1,1,store,product,0,0.97,critical
C0366,44,29,113.58,1,3,web,billing,1,0.379,medium
C0367,42,8,120.12,3,4,store,billing,1,0.241,high
C0368,34,54,144.56,1,1,web,product,1,0.403,critical
C0369,19,3,59.34,2,4,store,technical,1,0.301,medium
C0370,58,55,82.07,2,1,store,technical,1,0.674,critical
C0371,35,4,116.15,3,2,call,account,1,0.634,critical
C0372,52,15,92.01,0,4,store,billing,1,0.027,medium
C0373,39,43,50.89,1,1,app,billing,1,0.511,critical
